twrank,twhandle,twtext
1,@Ladyimam,2742
2,@tturenc,1898
3,@aydincingi,1755
4,@ebabahan,1721
5,@EmreUslu,1492
6,@LutfuTurkkan,1424
7,@bahattinyucel,1378
8,@bkenes,1287
9,@secondvirus,1245
10,@SONSAYI,1131
11,@koraycaliskan,1110
12,@haykobagdat,1108
13,@AtillaTasNet,1103
14,@melisalphan,1061
15,@mehmetbaransu,1016
16,@tokcem,1005
17,@fatihportakal,954
18,@AlperTurgut01,938
19,@doganduru,918
20,@muslimsarichp,912
21,@nasrullahayan,908
22,@FerdanErgut,903
23,@renemliD,870
24,@aykuterdogdu,863
25,@eksihabermas,846
26,@EratalaySevinc,844
27,@MehmetAltanFan,820
28,@selamiince,806
29,@erkan_akkus,786
30,@RustemBatum,783
31,@semihgumus,782
32,@MSTanrikulu,769
33,@ORHANBURSALI,765
34,@cenksidar,759
35,@SevimGozay,748
36,@Yusuf_Gunay,735
37,@Murat_ide,729
38,@serdarakinan,720
39,@zeynepgurcanli,716
40,@NevvalS,712
41,@alicimen,711
42,@ArzuErdogral,701
43,@istiklalAkarsu,692
44,@ferhatttunc,677
45,@FerdiCarrefour,677
46,@ihsanylmz,676
47,@asim_yildirim,676
48,@jamilabayraktar,673
49,@ugurses,672
50,@omradymn,668
51,@sedatuzunyol,646
52,@feyzi_isbasaran,639
53,@umitalan,635
54,@ozgurmumcu,631
55,@samiltayyar27,626
56,@HuseyinAygun62,624
57,@asliaydintasbas,622
58,@lubeayar,613
59,@myikar,612
60,@orhanaydin6,610
61,@AkyolMustafa,604
62,@Nesrinnas,581
63,@yunusgunce,576
64,@hakansukur,572
65,@ademyavuza,568
66,@idrisbal,554
67,@suyorumcusu,553
68,@candundaradasi,545
69,@Sukrukucuksahin,541
70,@can_atakli_,541
71,@gulerkomurcu,536
72,@MetinUca,533
73,@drhaluksavas,523
74,@LeventUzumcu,521
75,@enveraysever2,521
76,@GultekinAvc,521
77,@SedefKabas,506
78,@kaansezyum,501
79,@meldaonur,499
80,@HurAyse,498
81,@mustfsnmz,496
82,@baskomsernevzat,493
83,@UfukUras,484
84,@tuncayopcin,481
85,@TarikToros,480
86,@cigdemmater,479
87,@vekilince,479
88,@aakadiroglu,476
89,@alirizaozturk33,469
90,@KucukkayaIsmail,465
91,@ceyhunyilmaz,464
92,@BurhanKuzu,462
93,@barisatay,460
94,@MahirZeynalov_,460
95,@tanikunal,458
96,@S_Celebi,452
97,@ttbamteli,452
98,@UmutOranCHP,449
99,@BarbarosSansal,446
100,@FARACYAZIYOR,443
101,@cuneytozdemir,438
102,@sabahatakkiraz,438
103,@sahinmengu,436
104,@Salih_Kapusuz,436
105,@ahamitbilici,435
106,@bedribaykam,433
107,@burak_eldem,426
108,@ZaferOzcan_,423
109,@barisyarkadas,423
110,@hikmetgenc,420
111,@hilmihacaloglu,419
112,@ozge_mumcu,418
113,@fatihtezcan,412
114,@erolgoka,412
115,@onderozturk2023,406
116,@EToprakCHP,399
117,@DrSinanOgan,398
118,@mehmettez,395
119,@ErtugrulGunay,389
120,@YZGLLDGN,389
121,@Tuluhantekeli,389
122,@sitkiozcan,383
123,@vivetchka,382
124,@PYAntika,379
125,@ebrucapa,377
126,@sahmetsahmet,375
127,@EYPMUHCU,374
128,@AdnanBoynukara,372
129,@kemalgoktas,369
130,@drgurbuzcapan,369
131,@profozcan,368
132,@ihsaneliacik,365
133,@ZaferArapkirli,363
134,@muhsinakgun,360
135,@baristerkoglu,355
136,@sekermurat,354
137,@orayegin,354
138,@harun_tekin,351
139,@murataksoy,351
140,@cemkucuk55,351
141,@bernalacin35,351
142,@drerolkose,348
143,@senakaleli,345
144,@Mv_MCetin,344
145,@ooktayeksi,342
146,@Cemil_IPEKCI,342
147,@yavuzoghan,341
148,@OFarukLogoglu,339
149,@bkusoglu,339
150,@RT_Erdogan,337
151,@cakir_rusen,334
152,@HasipKAPLAN,333
153,@aykut_isiklar,332
154,@neslihanacu,330
155,@MBekaroglu,329
156,@elifilgaz,329
157,@RamisTopal,328
158,@muratsabuncum,327
159,@nihatsirdar,327
160,@hakan_aygun,323
161,@aliozgunduz,319
162,@melikedemirag,318
163,@Alimhamarat,311
164,@tkucukcan,306
165,@ccanozz,305
166,@cemilertem,304
167,@ugur_ergan,303
168,@ceydak,302
169,@turgutdibek,302
170,@nedimsener2010,299
171,@cemmumcu,299
172,@melihasik,299
173,@nebilozgenturk,297
174,@nevsinmengu,296
175,@NuhAlbayrak,294
176,@alidurantopuz,291
177,@NihatDogan_ND,290
178,@Armagan_caglaya,290
179,@omer_sahinn,286
180,@yavuzbaydar,285
181,@zekikayahan,282
182,@EgemenBagis,281
183,@FaikTUNAY,279
184,@melikekarakarta,279
185,@ttatari,277
186,@orkece,277
187,@acikcenk,277
188,@hidirgevis,277
189,@fadimeozkan,274
190,@mkirikkanat,274
191,@mustafaltioklar,273
192,@levent_kazak,271
193,@06melihgokcek,268
194,@yektakopan,268
195,@akyuzfikri,264
196,@hursitgunes,264
197,@nedimsaban,260
198,@farukmercan,260
199,@AtillaSertell,258
200,@MehmetEroglu_,257
201,@ceriLevis,257
202,@itiresen,254
203,@kinikli88,254
204,@EbruBaki,253
205,@KorayaydinMHP,248
206,@merdanyanardag,248
207,@ikaraosmanoglu,247
208,@ALIATIFBIR,246
209,@serkanaltunigne,244
210,@ibrahimsober,243
211,@hilal_kaplan,240
212,@mazharbagli,240
213,@s_hablemitoglu,239
214,@turgayogur,237
215,@KadriGursel,237
216,@emin_ekmen,236
217,@bulenttezcanchp,233
218,@mrtclkr,232
219,@siring,231
220,@mehvesevin,230
221,@edihvet,229
222,@fuatavni,227
223,@ilkeraksoy,225
224,@140darbe,224
225,@Chphalukkoc,222
226,@nildaybelday,221
227,@erhan_basyurt,220
228,@sevilayyaziyor,219
229,@aysekesir,218
230,@emavioglu,216
231,@MetinAROLAT,215
232,@suatkilic,213
233,@AliSahin501,212
234,@yasarokuyan,212
235,@cdavran,211
236,@ahmettulgarr,211
237,@metinfeyzioglu,211
238,@PuCCaa,210
239,@sedatlaciner,209
240,@melihaltinok,209
241,@obenBudak,208
242,@metecubukcu,207
243,@doguyucel,206
244,@gulserenonanc,204
245,@yasemininceoglu,203
246,@niluferacikalin,202
247,@aylin_kotil,201
248,@mnailkecili,200
249,@erenegilmez,199
250,@nibenka,198
251,@Guldenay007,197
252,@ezgibasaran,197
253,@ihsanozkes,197
254,@nurcanakad,197
255,@nazlicanozkan,195
256,@cananbarlas,195
257,@AylinNazliaka,195
258,@Mustafa_Destici,195
259,@AltanSan,193
260,@KamerGen1,191
261,@aDilipak,189
262,@oktayvural,188
263,@sermiyanmidyat,188
264,@cibecicina,187
265,@MirgunCabas,187
266,@aykanerdemir,187
267,@amberinzaman,186
268,@attilao,185
269,@ersozhuseyin,184
270,@haluk_eyidogan,182
271,@obasturk,180
272,@OzlemGurses,180
273,@demetsagiroglu,180
274,@fuatkozluklu,178
275,@NeslihanYargici,175
276,@tufandarbaz,174
277,@Sebnemisiguzel,173
278,@ETemelkuran,172
279,@izzetcapa,171
280,@Valimutlu,171
281,@SalarMurat,170
282,@karadagerhan,167
283,@AylinAsLIM,167
284,@CandanYceer,166
285,@gunaydingokhan,166
286,@_cevdetyilmaz,163
287,@iskenderpaydas,163
288,@kilicdarogluk,163
289,@yildarado,162
290,@M_Sarigul,162
291,@tekinlatife,162
292,@poyrazalti,162
293,@feraitinc,161
294,@Notredamedesion,160
295,@ugurdundarsozcu,160
296,@suleymansarilar,160
297,@Deniz_Zeyrek,160
298,@mucahitbilici,159
299,@elifkey,159
300,@ATuncayOzkan,158
301,@katkaya,157
302,@isbecer,157
303,@gurseltekin34,156
304,@melihbayramdede,156
305,@barispehlivan,156
306,@ebasaksengul,154
307,@GBilgehan,154
308,@mustafabalbay,154
309,@BayramogluDeniz,153
310,@_ertemsener,153
311,@sehrazatmusic,152
312,@haberaktif,152
313,@aycasenbaskan,152
314,@E_Sarizeybek,152
315,@degirmencirfan,151
316,@DenizUlke,151
317,@nacibostanci,151
318,@fuldenuras,150
319,@oz_zekeriya,150
320,@GaniMujde,150
321,@AkarRidvanakar,150
322,@firattanis,149
323,@ismail_yasa,149
324,@mhulkicevizoglu,148
325,@ErhanErkut,148
326,@CengizHrtgl,148
327,@halideincekara,147
328,@slymnoz,146
329,@umit_zileli,146
330,@seyitaliaral,146
331,@atillakart,144
332,@hc_huseyincelik,143
333,@ahmethc,143
334,@tezcanah,142
