newsdate,twcount,title,href
2015-01-11 00:00:00,35,High security surrounds Paris’ massive unity rally,http://theplazz.com/2015/01/3158015/
2015-01-10 00:00:00,21,"Actor, comedian Taylor Negron dies at 57",http://theplazz.com/2015/01/3158209/
2015-01-10 00:00:00,16,"On home turf, Seahawks advance to title game",http://theplazz.com/2015/01/3157943/
2015-01-10 00:00:00,39,"Pats overcome Ravens, eyes on AFC title",http://theplazz.com/2015/01/3157226/
2015-01-10 00:00:00,5,"Ontario hecklers shout, ‘We believe the women’",http://theplazz.com/2015/01/3157555/
2015-01-10 00:00:00,4,Legendary LeBeau to resign from Steelers,http://theplazz.com/2015/01/3157410/
2015-01-10 00:00:00,8,Top cop Bratton says police slowdown is over,http://theplazz.com/2015/01/3156666/
2015-01-10 00:00:00,5,"Saudi blogger receives first 50 of 1,000 lashes",http://theplazz.com/2015/01/3156922/
2015-01-10 00:00:00,11,"Golden Globes eve: Time for primping, prepping",http://theplazz.com/2015/01/3156414/
2015-01-10 00:00:00,17,"Past issues aside, NYT defends Hebdo decision",http://theplazz.com/2015/01/3150485/
2015-01-10 00:00:00,11,Muslim grocery store clerk saved hostages,http://theplazz.com/2015/01/3156442/
2015-01-10 00:00:00,9,Zimmerman back in jail on domestic assault,http://theplazz.com/2015/01/3156062/
2015-01-10 00:00:00,16,France mourns as police search for Boumeddiene,http://theplazz.com/2015/01/3156039/
2015-01-10 00:00:00,22,Murdoch’s ‘Moslems’ tweet outrages users,http://theplazz.com/2015/01/3155811/
2015-01-11 00:00:00,86,Weekend@ThePlazz: Random Brilliance,http://theplazz.com/2015/01/3132480/
2015-01-09 00:00:00,12,Rumor mill gets it wrong again: Fidel Castro lives,http://theplazz.com/2015/01/3151321/
2015-01-09 00:00:00,23,Prosecutors recommend charges against Petraeus,http://theplazz.com/2015/01/3155017/
2015-01-09 00:00:00,77,Romney tells donors he’s considering a 2016 run,http://theplazz.com/2015/01/3154450/
2015-01-09 00:00:00,14,Al-Qaeda takes credit for Charlie Hebdo attack,http://theplazz.com/2015/01/3154245/
2015-01-09 00:00:00,6,"Christie, orange sweater will be at Lambeau",http://theplazz.com/2015/01/3154150/
2015-01-09 00:00:00,13,President shares free community college plan,http://theplazz.com/2015/01/3155228/
2015-01-09 00:00:00,14,Boko Haram blamed in Nigerian massacre,http://theplazz.com/2015/01/3153525/
2015-01-09 00:00:00,7,Obama pledges US will stand with France,http://theplazz.com/2015/01/3153265/
2015-01-09 00:00:00,18,"Despite veto warning, House OKs Keystone bill",http://theplazz.com/2015/01/3153068/
2015-01-09 00:00:00,37,Suspects dead after hostage standoffs end,http://theplazz.com/2015/01/3152813/
2015-01-09 00:00:00,5,"Jack Shafer joins Politico to talk press, politics",http://theplazz.com/2015/01/3152561/
2015-01-09 00:00:00,13,Paris Jewish quarter closed amid attack fears,http://theplazz.com/2015/01/3151944/
2015-01-09 00:00:00,20,Sinking wages mar 252K payroll gain in December,http://theplazz.com/2015/01/3151671/
2015-01-09 00:00:00,28,Paris police move in on hostage situations,http://theplazz.com/2015/01/3151298/
2015-01-09 00:00:00,17,"Eastern US not alone in winter storms, snowfall",http://theplazz.com/2015/01/3151370/
2015-01-08 00:00:00,19,Paris attack: Shooter had al-Qaeda connection,http://theplazz.com/2015/01/3149699/
2015-01-08 00:00:00,4,Video shows officers gave Tamir Rice no aid,http://theplazz.com/2015/01/3149908/
2015-01-08 00:00:00,17,Obama wants to make community college free,http://theplazz.com/2015/01/3150046/
2015-01-08 00:00:00,24,Boston captures US bid for 2024 Olympics,http://theplazz.com/2015/01/3149972/
2015-01-08 00:00:00,23,"Intl. mourning, outrage persist for slain journos",http://theplazz.com/2015/01/3148424/
2015-01-08 00:00:00,32,News media back power of Charlie Hebdo’s pen,http://theplazz.com/2015/01/3147714/
2015-01-08 00:00:00,39,Calif.’s Sen. Boxer not seeking re-election in ’16,http://theplazz.com/2015/01/3147942/
2015-01-08 00:00:00,4,Report: NFL failed to look into Ray Rice case,http://theplazz.com/2015/01/3149420/
2015-01-08 00:00:00,12,On Elvis’ 80th birthday fans still love him true,http://theplazz.com/2015/01/3147341/
2015-01-08 00:00:00,5,In error New York Times invents ‘Kyrzbekistan’,http://theplazz.com/2015/01/3147664/
2015-01-08 00:00:00,13,GOP-led Congress looks to challenge Obama,http://theplazz.com/2015/01/3147307/
2015-01-08 00:00:00,8,"Jeb warns against ’90s nostalgia,’ tax rumors",http://theplazz.com/2015/01/3147041/
2015-01-08 00:00:00,24,"USA Today Hebdo op-ed sparks disbelief, anger",http://theplazz.com/2015/01/3146379/
2015-01-08 00:00:00,35,Arctic air keeps tweeps feeling the cold in US,http://theplazz.com/2015/01/3142212/
2015-01-07 00:00:00,10,"White, Affleck among People’s Choice winners",http://theplazz.com/2015/01/3146147/
2015-01-07 00:00:00,20,"Vigils held, police search for Hebdo attackers",http://theplazz.com/2015/01/3144911/
2015-01-07 00:00:00,25,"AP, CNN criticized for Hebdo attack response",http://theplazz.com/2015/01/3144838/
2015-01-07 00:00:00,12,"City, union leaders still can’t see eye-to-eye",http://theplazz.com/2015/01/3143809/
2015-01-07 00:00:00,8,Trump plays gun control card on Paris attack,http://theplazz.com/2015/01/3145374/
2015-01-07 00:00:00,4,Catholic League’s leader defends Paris attack,http://theplazz.com/2015/01/3145429/
2015-01-07 00:00:00,7,Phylicia Rashad says to ‘forget’ Cosby accusers,http://theplazz.com/2015/01/3145388/
2015-01-07 00:00:00,9,WH vows to veto ACA mandate changes,http://theplazz.com/2015/01/3144651/
2015-01-08 00:00:00,4,CBS journalist Steve Kroft admits to affair,http://theplazz.com/2015/01/3145389/
2015-01-07 00:00:00,5,FOMC shows no sign of early thaw in ZIRP,http://theplazz.com/2015/01/3144147/
2015-01-07 00:00:00,3,"Embattled Scalise rejects bigotry, raises funds",http://theplazz.com/2015/01/3142861/
2015-01-07 00:00:00,45,"World leaders, officials condemn terrorism",http://theplazz.com/2015/01/3142969/
2015-01-07 00:00:00,5,Netanyahu makes West Bank vow in election,http://theplazz.com/2015/01/3141930/
2015-01-07 00:00:00,4,ADP: Dec. job creation better than expected,http://theplazz.com/2015/01/3142383/
2015-01-07 00:00:00,87,"Paris attack sparks talk of Islam, free speech",http://theplazz.com/2015/01/3142448/
2015-01-07 00:00:00,94,12 dead in shooting at French satirical paper,http://theplazz.com/2015/01/3142029/
2015-01-07 00:00:00,13,Explosive set off outside Colorado NAACP office,http://theplazz.com/2015/01/3141507/
2015-01-07 00:00:00,4,Obama appoints Bank of Hawaii CEO to Fed,http://theplazz.com/2015/01/3141669/
2015-01-06 00:00:00,13,Jeb Bush announces ‘Right to Rise’ 2016 PAC,http://theplazz.com/2015/01/3137593/
2015-01-06 00:00:00,12,Va. Ex-Gov McDonnell gets 2 years in prison,http://theplazz.com/2015/01/3140059/
2015-01-06 00:00:00,8,Boehner’s revenge: Two dissenters feel backlash,http://theplazz.com/2015/01/3140309/
2015-01-06 00:00:00,57,Most diverse Congress yet opens despite snow,http://theplazz.com/2015/01/3136671/
2015-01-06 00:00:00,7,"Coachella 2015: AC-DC, Drake, Jack White, more",http://theplazz.com/2015/01/3140595/
2015-01-06 00:00:00,7,"For Delauter, perhaps awareness is overrated",http://theplazz.com/2015/01/3140736/
2015-01-06 00:00:00,26,Boehner’s tears flow as he accepts 3rd term,http://theplazz.com/2015/01/3139500/
2015-01-06 00:00:00,4,3 dead in Texas VA hospital shooting,http://theplazz.com/2015/01/3140452/
2015-01-06 00:00:00,4,Baby panda Bao Bao enjoys frosty frolic,http://theplazz.com/2015/01/3139978/
2015-01-06 00:00:00,5,"Sony’s new Walkman will set you back $1,120",http://theplazz.com/2015/01/3140654/
2015-01-06 00:00:00,11,Former Gov. Cuomo laid to rest in New York City,http://theplazz.com/2015/01/3140865/
2015-01-06 00:00:00,21,Largest Baseball Hall of Fame class since ’55,http://theplazz.com/2015/01/3139688/
2015-01-06 00:00:00,23,Earnest: Obama unlikely to sign Keystone bill,http://theplazz.com/2015/01/3139357/
2015-01-06 00:00:00,13,Dow plunges as price of oil continues to slide,http://theplazz.com/2015/01/3138631/
2015-01-06 00:00:00,53,"Storm brings much of US snow, chill, illness",http://theplazz.com/2015/01/3136685/
2015-01-06 00:00:00,33,House representatives to select speaker today,http://theplazz.com/2015/01/3137080/
2015-01-06 00:00:00,3,"In Germany, protests for, against immigration",http://theplazz.com/2015/01/3136681/
2015-01-06 00:00:00,10,Harvard professors see red over ACA effects,http://theplazz.com/2015/01/3135921/
