title,twcount,href
Massive unity rally to begin shortly in Paris,24,http://theplazz.com/2015/01/3158015/
"Actor, comedian Taylor Negron dies at 57",15,http://theplazz.com/2015/01/3158209/
"On home turf, Seahawks advance to title game",16,http://theplazz.com/2015/01/3157943/
"Pats overcome Ravens, eyes on AFC title",39,http://theplazz.com/2015/01/3157226/
"Ontario hecklers shout, ‘We believe the women’",5,http://theplazz.com/2015/01/3157555/
Legendary LeBeau to resign from Steelers,4,http://theplazz.com/2015/01/3157410/
Top cop Bratton says police slowdown is over,8,http://theplazz.com/2015/01/3156666/
"Saudi blogger receives first 50 of 1,000 lashes",5,http://theplazz.com/2015/01/3156922/
"Golden Globes eve: Time for primping, prepping",10,http://theplazz.com/2015/01/3156414/
"Past issues aside, NYT defends Hebdo decision",15,http://theplazz.com/2015/01/3150485/
Muslim grocery store clerk saved hostages,9,http://theplazz.com/2015/01/3156442/
Zimmerman back in jail on domestic assault,9,http://theplazz.com/2015/01/3156062/
France mourns as police search for Boumeddiene,15,http://theplazz.com/2015/01/3156039/
Murdoch’s ‘Moslems’ tweet outrages users,22,http://theplazz.com/2015/01/3155811/
Weekend@ThePlazz: Random Brilliance,86,http://theplazz.com/2015/01/3132480/
Rumor mill gets it wrong again: Fidel Castro lives,12,http://theplazz.com/2015/01/3151321/
Prosecutors recommend charges against Petraeus,23,http://theplazz.com/2015/01/3155017/
Romney tells donors he’s considering a 2016 run,76,http://theplazz.com/2015/01/3154450/
Al-Qaeda takes credit for Charlie Hebdo attack,11,http://theplazz.com/2015/01/3154245/
"Christie, orange sweater will be at Lambeau",5,http://theplazz.com/2015/01/3154150/
President shares free community college plan,13,http://theplazz.com/2015/01/3155228/
Boko Haram blamed in Nigerian massacre,14,http://theplazz.com/2015/01/3153525/
Obama pledges US will stand with France,7,http://theplazz.com/2015/01/3153265/
"Despite veto warning, House OKs Keystone bill",18,http://theplazz.com/2015/01/3153068/
Suspects dead after hostage standoffs end,37,http://theplazz.com/2015/01/3152813/
"Jack Shafer joins Politico to talk press, politics",5,http://theplazz.com/2015/01/3152561/
Paris Jewish quarter closed amid attack fears,13,http://theplazz.com/2015/01/3151944/
Sinking wages mar 252K payroll gain in December,20,http://theplazz.com/2015/01/3151671/
Paris police move in on hostage situations,28,http://theplazz.com/2015/01/3151298/
"Eastern US not alone in winter storms, snowfall",17,http://theplazz.com/2015/01/3151370/
Paris attack: Shooter had al-Qaeda connection,19,http://theplazz.com/2015/01/3149699/
Video shows officers gave Tamir Rice no aid,4,http://theplazz.com/2015/01/3149908/
Obama wants to make community college free,17,http://theplazz.com/2015/01/3150046/
Boston captures US bid for 2024 Olympics,24,http://theplazz.com/2015/01/3149972/
"Intl. mourning, outrage persist for slain journos",23,http://theplazz.com/2015/01/3148424/
News media back power of Charlie Hebdo’s pen,31,http://theplazz.com/2015/01/3147714/
Calif.’s Sen. Boxer not seeking re-election in ’16,39,http://theplazz.com/2015/01/3147942/
Report: NFL failed to look into Ray Rice case,4,http://theplazz.com/2015/01/3149420/
On Elvis’ 80th birthday fans still love him true,12,http://theplazz.com/2015/01/3147341/
In error New York Times invents ‘Kyrzbekistan’,5,http://theplazz.com/2015/01/3147664/
GOP-led Congress looks to challenge Obama,13,http://theplazz.com/2015/01/3147307/
"Jeb warns against ’90s nostalgia,’ tax rumors",8,http://theplazz.com/2015/01/3147041/
"USA Today Hebdo op-ed sparks disbelief, anger",24,http://theplazz.com/2015/01/3146379/
Arctic air keeps tweeps feeling the cold in US,35,http://theplazz.com/2015/01/3142212/
