twhandle,twtext
@morningmoneyben,1130
@jpodhoretz,1061
@daveweigel,1049
@ianbremmer,765
@mattyglesias,743
@GlennF,741
@TheStalwart,704
@samsteinhp,678
@ReformedBroker,678
@BuzzFeedAndrew,671
@jimgeraghty,649
@Talkmaster,634
@ananavarro,606
@lizzwinstead,596
@StirringTrouble,592
@KagroX,590
@dandrezner,589
@ethanklapper,568
@KailiJoy,567
@zerohedge,564
@DavidKaib,532
@jeffpearlman,530
@Green_Footballs,526
@joshuafoust,525
@joshtpm,525
@eliasisquith,493
@ron_fournier,484
@benshapiro,462
@randomsubu,451
@MattBinder,445
@markknoller,444
@fmanjoo,441
@LaMonicaBuzz,432
@TheFix,430
@JohnJHarwood,424
@AntDeRosa,419
@JonahNRO,409
@danprimack,395
@realDonaldTrump,393
@rilaws,392
@MiaFarrow,388
@ClaraJeffery,387
@edsbs,384
@chrislhayes,379
@rolandsmartin,377
@CharlieDaniels,369
@mileskahn,369
@Max_Fisher,367
@piersmorgan,364
@edbott,364
@monaeltahawy,362
@sahilkapur,356
@EricStangel,348
@anildash,347
@7im,338
@ditzkoff,338
@robdelaney,337
@davidfrum,326
@ThePlumLineGS,318
@greta,311
@HowardKurtz,309
@nycjim,309
@chrisgeidner,307
@DanAmira,302
@KevinWGlass,302
@zackbeauchamp,299
@chucktodd,296
@drewmagary,296
@LukeRussert,295
@pkedrosky,294
@IngrahamAngle,293
@michaelianblack,291
@ZekeJMiller,290
@TinaDupuy,289
@JeffreyGoldberg,288
@DavidCornDC,283
@VonniMediaMogul,282
@ExumAM,282
@JoyceCarolOates,281
@Timodc,279
@rickklein,277
@jonathanwald,272
@KatrinaNation,262
@BetteMidler,261
@ByronYork,259
@neetzan,253
@EdMorrissey,252
@jonlovett,252
@nickconfessore,251
@mattzollerseitz,251
@anylaurie16,251
@grossdm,251
@thisisjendoll,250
@BenStandig,249
@OccupyWallStNYC,247
@alexanderiburns,244
@JustinWolfers,240
@stacyherbert,239
@jaketapper,239
@AlecMacGillis,237
@PerezHilton,237
@FeldmanAdam,237
@SuzyWelch,236
@AnonyOps,236
@BeckyGMartinez,234
@ggreenwald,234
@BCAppelbaum,234
@politicoroger,233
@jim_newell,228
@AHMalcolm,223
@carlbildt,223
@anamariecox,220
@pattonoswalt,220
@RonanFarrow,219
@conor64,217
@pareene,214
@nprmonkeysee,212
@Justin_Stangel,211
@IrvineWelsh,211
@wilw,211
@brianjameswalsh,211
@michellemalkin,210
@ASE,209
@MrChuckMartin,209
@CharlesMBlow,207
@ChrisWarcraft,206
@petridishes,204
@radleybalko,203
@AriMelber,200
@therealroseanne,199
@pete_schultz,198
@AriFleischer,194
@sternbergh,191
@thegarance,191
@NickKristof,186
@leahmcelrath,184
@JWGOP,183
@kevinroose,183
@birbigs,182
@acarvin,181
@RealDLHughley,180
@jackshafer,180
@BahmanKalbasi,179
@JoshElliott32,176
@markmackinnon,176
@petersuderman,176
@ChemiShalev,175
@markos,173
@kingsthings,172
@TheEllenShow,170
@strobetalbott,170
@JonMediaWeb,169
@RichardHaass,169
@BresPolitico,168
@DylanByers,167
@ChrisCuomo,166
@greenhousenyt,166
@cenkuygur,165
@Convertbond,165
@SethAbramovitch,165
@mpoindc,165
@AlbertBrooks,163
@ezraklein,163
@kellyoxford,163
@mtomasky,162
@felixsalmon,162
@rebeccagberg,162
@thegoodhuman,161
@gregorydjohnsen,159
@mitchellreports,157
@politicalwire,157
@aterkel,157
@AndyRichter,155
@carney,154
@SenTedCruz,153
@GhostPanther,152
@LarrySabato,151
@Ed_Husain,149
@ryangrim,149
@Reince,149
@costareports,148
@yoyoha,148
@AdamSank,148
@jtannenwald,148
@matthewjdowd,147
@SpeakerBoehner,147
@kathrynlopez,146
@kausmickey,145
@maureenjohnson,145
@GroverNorquist,144
@jonathanchait,144
@jenanmoussa,144
@jamesoliphant,143
@liamstack,142
@levie,142
@jeffzeleny,141
@emilybell,141
@EliLake,141
@BlanksSlate,140
@kevin_powell,140
@DouthatNYT,139
@billmaher,138
@JHWeissmann,138
@jianghomeshi,136
@Ihnatko,136
@RabbiShmuley,136
@jdickerson,136
@DanaPerino,134
@joshuatopolsky,134
@ZachBroussard,133
@fakedansavage,133
@lenadunham,129
@AlexPappas,129
@joanwalsh,127
@rickygervais,125
@BillWeirCNN,125
@JoshuaGreen,124
@baratunde,124
@UncleRUSH,123
@MMFlint,123
@joshgroban,123
@ConanOBrien,123
@JakeSherman,123
@AdrianChen,122
@maggiepolitico,122
@RyanLizza,120
@imchriskelly,120
@BruceLaBruce,120
@BiancaJagger,120
@SenGillibrand,119
@PaulBlu,119
@NancyPelosi,119
@TomArnold,118
@quintywinties,118
@thelittleidiot,116
@weeddude,115
@AnnaHolmes,115
@MarkHalperin,115
@JoeNBC,114
@AnnCoulter,114
@chucknicecomic,114
@EHolmesWSJ,114
@keithellison,113
@WhiteHouse,112
@BadAstronomer,112
@silvermanjacob,112
@Baird,111
@alexmassie,111
@hillhulse,110
@jedlewison,110
@DanielLarison,110
@amyewalter,109
@BarackObama,109
@marcmaron,109
@BuzzFeedBen,109
@carr2n,108
@Sherman_Alexie,108
@marcambinder,107
@edhenry,107
@FrEdwardBeck,107
@BillyMerritt,106
@AskDrRuth,106
@SenatorReid,106
@davidaxelrod,106
@jimrome,104
@TimothyNoah1,104
@PaulBegala,104
@LoniLove,103
@gabrielsnyder,102
@DrDigiPol,102
@RobLowe,102
@JamesWolcott,101
@joshrogin,100
@Joan_Rivers,100
@gregorykorte,99
@GrahamBlog,99
@marykissel,99
@MarleeMatlin,98
@caitlinmoran,98
@GoldyHA,98
@ComedyCentral,98
@NivenJ1,98
@TheDailyShow,98
@EJDionne,97
@SteveKornacki,96
@CoryBooker,96
@OC,95
@RichardEngel,94
@ariannahuff,94
@SenJohnMcCain,93
@BoyGeorge,92
@meganamram,92
@zachbraff,92
@BrianJMoylan,91
@tnyCloseRead,91
@MelissaJoanHart,91
@KeithOlbermann,90
@ryanavent,90
@laurasnapes,90
@sardesairajdeep,89
@BeschlossDC,89
@joekellyjk47,88
@JohnCornyn,88
@kirstiealley,88
@DLeonhardt,88
@A_Grossman,87
@JeffDSachs,87
@gaberivera,87
@PeterBeinart,87
@alexis_levinson,87
@wikileaks,86
@Kasparov63,86
@BenFellerNY,85
@StephenAtHome,83
@McFaul,83
@NateSilver538,83
@KennethCole,83
@SenRandPaul,83
@brithume,82
@SenSchumer,82
@SenFeinstein,81
@jonathanalter,81
@RBReich,81
@SenatorCardin,81
@campsucks,80
@sherryrehman,80
@rupertmurdoch,80
@susanorlean,80
@fredthompson,80
@ilyseh,80
@newtgingrich,79
@davidmwessel,79
@ChrisRyanPhD,78
@secupp,78
@HadleyFreeman,78
@MajorCBS,78
@jackiejcollins,78
@WilliamShatner,78
@TerryMoran,77
@cschweitz,77
@JoannaStern,77
@arishapiro,77
@questlove,77
@mashable,76
@NikkiGlaser,76
@jimmyfallon,76
@DannyWoodburn,75
@JeffreyFeldman,75
@snooki,75
@latoyajackson,75
@ClipperChip,75
@jacobwe,75
@rdotinga,74
@FrankPallone,74
@PeterHambyCNN,74
@Peoples_Pundit,73
@billmckibben,73
@Rosie,73
@JDL1185,72
@EricCantor,72
@EricaJong,72
@SusanPage,72
@wkamaubell,71
@IJasonAlexander,71
@DanaBashCNN,71
@SenSanders,71
@JamesFallows,71
@RoyBlunt,71
@DRUDGE,70
@AdrianneCurry,70
@lisarinna,70
@simonpegg,70
@leannrimes,70
@John_Hudson,69
@timkaine,69
@Beyerstein,69
@rainnwilson,69
@GreatDismal,69
@CarsonDaly,68
@JohnAvlon,68
@JohnRentoul,67
@KatieS,67
@murphymike,67
@feliciaday,67
@RichardDawkins,67
@unfoRETTAble,66
@neiltyson,66
@caityweaver,66
@MikeBloomberg,66
@SteveForbesCEO,66
@CheriJacobus,65
@SarahPalinUSA,65
@SecretsBedard,65
@mariashriver,64
@danielpmcdermot,64
@THEHermanCain,64
@MarkLeibovich,64
@RameshPonnuru,64
@passerpiccolo,63
@JohnCassidy,63
@ChelseaVPeretti,63
@AnandWrites,63
@SenatorMenendez,62
@PaulaAbdul,62
@katiecouric,62
@SenScottBrown,61
@artiequitter,61
@MarshaBlackburn,61
@johncusack,61
@David_Cameron,61
@DarrellIssa,61
@EmileHirsch,60
@mckonomy,60
@AliceDreger,60
@Ruth_A_Buzzi,59
@JohnKerry,59
@SenatorKirk,59
@mcmoynihan,59
@hodgman,59
@RyanSeacrest,58
@seanhannity,58
@mindykaling,58
@WilliamJHague,58
@reihan,58
@JacksonDiehl,58
@KevinMaddenDC,57
@HalaGorani,57
@HarveyFierstein,57
@JasonBiggs,56
@MichaelChiklis,56
@iamdiddy,56
@ANNELAMOTT,56
@MarioLopezExtra,56
@JohnFDaley,56
@fstonenyt,56
@seanspicer,55
@Alyssa_Milano,55
@AriBerman,55
@SenatorDurbin,55
@rustyrockets,55
@SCClemons,55
@BobbyJindal,55
@atlasshrugs,54
@paulocoelho,54
@jenniferweiner,54
@SarahKSilverman,54
@kentucker,54
@AshleyRParker,54
